name_of_the_slum,created_at,updated_at,the_geom,circle_number,ward_number,population,households,number_of_bpl_households,minority,caste_general,caste_sc,caste_st,caste_obc,literacy_literates,literacy_illiterates,tenure_patta,tenure_possession_certificate,tenure_private_land,tenure_public,tenure_rented,tenure_others,structure_pucca,structure_semipucca,structure_kuccha,avg_monthly_income,avg_monthly_expenditure,debts_outstanding,zerotoone_years_of_stay,onetothree_years_of_stay,threetofive_years_of_stay,morethanfive_years_of_stay,female_headed_households,age
Gandhi nagar(nonslum),0058-01-12 00:00:00.68-04:56:02,26:43.2,0106000020E61000000100000001030000000100000015000000B0E6B633C29F5340CB1FA1A0F369314048407DB2BF9F5340E7C0D5AEC7693140B0A3BC7FC19F5340E0E8324EA669314088C902C3C59F534007F504F488693140302D3DDCC69F5340B31E84A18A693140B00B00F0C59F53400797AC8C9169314030EA4247C59F53404BFEB4CD98693140B03ABFD6C49F534030B24D66A1693140408B3B93C49F53409BAA2553A9693140B0CA4682C69F5340500EB42EAD69314068BDDF0EC79F53405174FDC4AD693140C09915E6C69F53409304DB8EB069314020764B63C69F53405C59B7A9B0693140003104CAC59F53407F0F2984B0693140708EE039C59F5340CC8ECA51B7693140D8EBBC03C59F53401F6DCCCCBF693140F0D10D69C49F53403F0D43FDC969314008B8DE3EC49F53400F9DF930D6693140F021C5BAC29F5340E1C0B27CDD69314020C88325C59F5340D01A0FF8F4693140B0E6B633C29F5340CB1FA1A0F3693140,9,93,134,28,26,0,2,24,0,2,130,4,11,0,0,0,4,13,24,4,0,4661,4661,0,0,0,0,28,7,
Ram krishna nagar,0045-11-09 00:00:00.68-04:56:02,26:43.2,0106000020E61000000100000001030000000100000005000000C8A5017243A0534081A85767F6673140E00F058C38A053409C6D36289B6731405036FD7F44A053408FCF1B6C90673140184CFC2A4EA053405107EC49E4673140C8A5017243A0534081A85767F6673140,9,90,1708,412,376,82,167,39,16,190,1619,89,35,2,0,0,373,2,404,8,0,3755,3439,5118,2,0,1,409,44,
Ambedkar Nagar,0044-06-10 00:00:00.68-04:56:02,26:43.2,0106000020E61000000100000001030000000100000010000000606F048AFE9F5340B21DDE90AD68314068AE7C0BFD9F53409BBD63E3AB68314080E484E1F99F534070E3858DAB683140401F80A9F59F5340E641A132A8683140401805E2F19F53404E47DF28A26831408018002EF19F53405EC7B0719A683140C0D17E39ED9F53406F3E7D1D9B683140100C84F0EA9F5340BA151D249F6831403888FF09E89F534020636A229E683140D81A08D1F39F5340884CB7F481683140D868FF24FA9F5340C4B902E17568314070AA7A3BFA9F53402F9145796A683140F0A984A3FB9F53408FE32420686831407076FFB301A053405FBEABD4A26831401090C405FF9F534020D82B0BAA683140606F048AFE9F5340B21DDE90AD683140,9,90,582,154,149,11,8,115,2,29,578,4,90,8,0,1,54,1,44,110,0,4021,5456,0,4,0,19,131,24,
Risla Quarishid Basti,0046-02-12 00:00:00.68-04:56:02,26:43.2,0106000020E6100000010000000103000000010000000D000000D8A0794A18A053408DFD1B6ACA683140D099FE3615A05340FAFB9CED97683140F07BBC0C16A053406CC5484096683140C03BC09316A053400FEC9D769D683140B0C23D011AA0534099A9BD469A6831403801C09019A0534043DC419193683140B0FF014F2AA05340A72455B28D68314090C27EBF2AA05340B77B5D548868314020C581352DA053400D4FC2B08C6831404045FF782DA053407630E6D7A4683140A8A545BF2EA05340F85F9D19B36831408091C0B422A053400E479905C1683140D8A0794A18A053408DFD1B6ACA683140,9,90,773,147,139,145,146,1,0,0,773,0,39,50,0,0,57,1,86,60,1,4994,4994,0,0,0,0,147,3,
Hari Nagar,0045-09-04 00:00:00.68-04:56:02,26:43.2,0106000020E6100000010000000103000000010000000F0000003098015F38A053404F39AAC39F6931405073442136A05340B797B87E8F693140004986B930A05340A2A7B7F589693140C092A29D2CA05340C10F394392693140A082FDB62BA05340F182CAF0866931404850FC1833A05340337106DA786931405018BF8335A0534009DBE57F5B693140C041A02040A053401FEE4FD950693140386B01EB42A053407109D9DC45693140B05349F048A05340D5D4EC60486931401855C88D49A0534009B6BE064C6931403052AD8D4AA05340FA37DC055269314000C985144DA053407FEDAA515969314028BE03D14DA05340BAB5F1CC706931403098015F38A053404F39AAC39F693140,9,90,1273,300,277,68,92,128,0,80,1126,147,37,57,3,2,193,8,149,148,3,4303,4373,10997,16,7,6,271,74,
New Achiya Nagar,0047-05-12 00:00:00.68-04:56:02,26:43.2,0106000020E6100000010000000103000000010000000B00000060BEFE1C4DA053407FEDAA515969314068BA7C904AA053408373C25B5269314080F486FB48A05340D5D4EC60486931401079FC9849A0534094A2F4B145693140008100DF4EA0534001DC2C5E2C693140E80003394FA053407541D8840F69314068D4F85C58A053406C587467FD6831402817F8C459A05340446F6DB8FA683140C0E1FD9F60A053401FCF575E2C69314060DCFC755DA053407A97416B3469314060BEFE1C4DA053407FEDAA5159693140,9,90,838,206,197,17,29,31,0,146,800,38,15,54,0,1,133,3,107,96,3,4000,4010,4951,8,3,3,192,41,
Mohan nagar,0045-08-09 00:00:00.68-04:56:02,26:43.2,0106000020E61000000100000001030000000100000011000000104980DC76A053408A3EDD48F2693140E00C06F079A05340E3F94EC4096A3140C0C083D172A05340AB0ED2B60E6A3140F0AE066A69A05340A28D4C55146A3140405CFFB05EA053408CF088DC186A314030DB78245CA05340FEFE83FEF8693140C88F84BF57A0534072642F25DC693140909604875BA053404D0E23ADC669314028A4041663A05340C461C499BA693140406F008968A053405E85EF58C7693140E02605AB64A05340002A0B15D2693140006B83B066A0534083DBFBD0DC693140F0F1001E6AA053409FD72B6ED4693140087680506CA05340795698DFE569314068D6C6966DA0534069D6C696ED693140607888F36EA05340EC87B752F8693140104980DC76A053408A3EDD48F2693140,9,90,231,60,41,4,15,17,0,28,231,0,1,0,21,0,37,1,20,39,1,3262,3195,417,0,0,0,60,25,
Ram Nagar,0048-01-10 00:00:00.68-04:56:02,26:43.2,0106000020E61000000100000001030000000100000009000000C8A262EC86A05340588A8933F269314030B641DE87A05340DE3EDCEFEF693140A0C9006889A0534024C89E7FEC69314090F03E9D8CA053408B70A347E469314020E8046889A05340B445CB7DB6693140B05DBBAE82A05340F9C069B0C8693140F82E6DA383A0534014D7B11ED86931404000DF1385A053404FACD8E2E7693140C8A262EC86A05340588A8933F2693140,9,90,264,68,57,2,12,21,0,35,245,19,6,32,2,0,16,12,61,7,0,3934,3724,2353,5,0,0,63,12,
Ram Nagar,0049-06-09 00:00:00.68-04:56:02,26:43.2,0106000020E61000000100000001030000000100000008000000B0F5047090A05340798A2493B6693140480305FF97A05340FBD3A12EAD69314010A4420A98A05340EFE6CA1CA2693140E8FD03D594A05340B0A54FC4856931401099C51594A05340026FB01B8769314080ED05E98FA05340DB544AD18D6931401002238F8DA053405903DF1490693140B0F5047090A05340798A2493B6693140,9,89,337,88,82,6,10,24,3,51,337,0,1,26,0,0,61,0,87,1,0,4917,5428,0,1,0,0,87,9,
Ramnagar (new),0048-08-06 00:00:00.68-04:56:02,26:43.2,0106000020E6100000010000000103000000010000000900000020F76019B4A05340AB0358EA61693140F8B26284B2A05340F2E5CF484D693140B0F97343B6A053407B50F3CD4969314060993FA5B5A05340DFF3777A5669314030695D5AB5A05340F4A2D97A5C6931402051AC29B5A0534030A172BB5F69314008399BFEB4A0534063887ACF616931406078B28CB4A0534005F9F3EB6269314020F76019B4A05340AB0358EA61693140,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Waddera Basti,0055-05-13 00:00:00.68-04:56:02,26:43.2,0106000020E61000000100000001030000000100000007000000000080C505A1534080365D8FDA6731400000009FF7A053407609956AF86731400000006A1DA15340314177FE876831400000004D2BA153409FD1F0D7A46831400000004F38A1534099DCB552876831400000001C11A1534097D57D5DF0673140000080C505A1534080365D8FDA673140,9,89,312,71,68,0,0,6,20,45,221,91,46,10,0,0,15,0,14,53,4,4280,3814,42521,3,1,0,67,0,
Rose Colony,0056-02-03 00:00:00.68-04:56:02,26:43.2,0106000020E6100000010000000103000000010000000B00000040EF0540779E53409D7DEDB2C268314020007A127F9E5340F4D0EB0DC668314070D523AA839E53400444DA29CA683140F06C3C96869E5340AE697B47CF683140401881A98D9E5340103E9468C968314000F9BFE18D9E53404EBCA011AE683140B070C3D6899E53404F3EDA8BAA6831406089FF22859E5340DD742E39AC683140C0BB80237D9E534051B563AEB268314018EE0105769E5340D3C15E7EBC68314040EF0540779E53409D7DEDB2C2683140,9,95,350,89,80,13,22,13,1,53,268,82,17,1,48,2,20,1,1,79,9,3978,3822,13685,0,4,2,83,30,
Pipeline Basthi,0057-07-08 00:00:00.68-04:56:02,26:43.2,0106000020E6100000010000000103000000010000000800000038F2BC2BAD9E5340CC0BF2AB2068314018764112B09E5340C51989F116683140583E3F4AB49E53403C53648422683140583C3E69B39E5340DF8463C623683140603ABDBDB19E53407D30DFB023683140909244D7AE9E5340FB3445DA2268314060C2E0CEAD9E53402AD6CD992268314038F2BC2BAD9E5340CC0BF2AB20683140,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65
Maisamma Banda,0059-08-07 00:00:00.68-04:56:02,26:43.2,0106000020E6100000010000000103000000010000000C000000A04EFEF6CE9E534037D5A425A068314040D52281CA9E534053E751F17F683140608600BFCA9E5340934F76D07868314028304BD8CA9E53402989F4F474683140C02901E9CD9E53407BB4BA266C6831405004712CCF9E53408917C1DD7368314070DD21F4CF9E53403F27A5967C683140D8F03AC4D09E5340DC5EBA7884683140705A89EBD19E53402DBAAB148F68314010C457E0D09E5340AD24688297683140D8219B37D09E53403FD6DF549C683140A04EFEF6CE9E534037D5A425A0683140,9,95,616,166,165,16,16,95,0,55,444,172,3,1,3,74,81,4,0,166,0,3657,3657,29127,0,0,2,164,33,
Banda Nagar,0058-02-09 00:00:00.68-04:56:02,26:43.2,0106000020E6100000010000000103000000010000000C000000C0AD81CEE09E534052955BFF5368314060990178D59E5340D530CF8C766831402040827DD79E53403672ED1D81683140D069E285D89E5340A8AEEB2B83683140809342BBD99E5340B32DD03E88683140E0E60261DD9E53400465FC81A4683140C87383F8E39E5340B9C09CD4A2683140B000845AEB9E5340729C034A9C683140A89E43E7E99E5340E690BA5F8F683140A03C0328E99E53407E4947A585683140483AFBB1E69E5340040C3FF682683140C0AD81CEE09E534052955BFF53683140,9,95,1742,361,359,19,91,90,0,180,1646,96,269,1,2,0,88,1,361,0,0,4532,4476,9769,5,3,9,344,80,
Jyothi Nagar,0062-01-10 00:00:00.68-04:56:02,26:43.2,0106000020E61000000100000001030000000100000005000000000000B0D99E5340900CF92905683140000080A4DD9E5340ADCF6B1A3068314000008003E89E53400911505E2568314000008044E39E5340B1F418B0EE673140000000B0D99E5340900CF92905683140,9,95,690,169,146,6,25,32,0,112,572,118,5,93,0,0,68,3,128,40,1,5029,6183,16864,1,0,0,168,19,
Devi Prasad Bhagh,0003-02-08 00:00:00.68-04:56:02,26:43.2,0106000020E61000000100000001030000000100000009000000B0F10488E39E53406D6B8F07F0673140E8BD844CEA9E53402D1953F2E267314098837F95EC9E53406B5E1776FF6731409096C00DF89E53402B104E55EB67314028A480DDFE9E534016A718EFE067314028A8026A019F53400087D4DD0A68314090870122EF9E5340C61084541F683140D039051AE89E534017E391B224683140B0F10488E39E53406D6B8F07F0673140,9,95,561,128,124,3,18,58,0,52,558,3,11,0,1,1,54,61,112,12,4,4602,4595,336,2,0,0,126,8,
Thala Basti,0002-06-01 00:00:00.68-04:56:02,26:43.2,0106000020E6100000010000000103000000010000001900000070F6D58FEC9E5340E3223120FF67314078111A7FEA9E5340D8C02D8AE4673140E050084FEE9E5340927194D5D7673140C0FDA83CF09E53407DC1B865D1673140282FBFF4F29E5340C064DB50CE67314058A41D92F59E5340987BD4A1CB6731401818FD91F79E5340D5DF1AF1C76731400858FEBEF79E53402142F90EC0673140787CC564FB9E5340BB7FEA27B567314098A17DEEFC9E534037B43312C267314050AC21ABFA9E53405421DC6CC5673140B054ED26FA9E5340C6EA87BFC3673140F0A5D703F99E5340183FCF97C5673140608E50F9F89E53405E995C31C8673140E007420DFA9E5340D4D0487CD56731409037C0EFFA9E53408654CED6E0673140E01364C1FB9E5340B8049F06DF673140500E2213FC9E534010EEA99FE4673140F0DE7B2CFB9E5340DE3D40F7E5673140E88ED518FA9E53404E030EBAE7673140F039C148F99E534053802027E9673140F8DAF99FF89E534094DF3F69EA6731407886DB67F69E534092DB61D9ED673140208E869DF39E53407865B4E1F267314070F6D58FEC9E5340E3223120FF673140,9,95,523,108,108,0,3,80,0,25,512,11,15,0,0,1,25,67,45,50,13,4414,4266,0,22,0,0,86,10,
Fareed Basti(non),0004-10-05 00:00:00.68-04:56:02,26:43.2,0106000020E6100000010000000103000000010000001300000088F7FB49E59E5340A6D467FFEA673140F50C44C3E09E534036A7BB80D16731402CAB7EDFDE9E53407502FD32D66731401789BFDCDD9E53407189C855D16731404F8D3CB5DF9E5340FEC821A0CA67314014CCB990DE9E5340E5EA2A51B467314080F08036E29E5340D4735EA5B367314023B382F8E39E53404B38784FB3673140F3B58033E59E53400CDD369DAE67314083FB7DD6E79E5340463D0AF8B1673140BBFFFAAEE99E5340C2FC91F9B2673140F15EBDA3E99E5340AD815259B96731404F02FE9DEB9E53409C0A86ADB86731402EC5FAABEC9E5340FA4FEDC2C56731404B06802AEE9E5340292B5D2CD2673140E2C58865EF9E53407C7FA404D4673140617F02BDEA9E53405007EC49E4673140F97D831FEA9E53403E901F9EE367314088F7FB49E59E5340A6D467FFEA673140,9,95,175,38,31,32,31,2,1,4,175,0,19,0,12,0,7,0,32,6,0,3729,3495,0,0,1,1,36,0,
MCH Quarters,0003-01-04 00:00:00.68-04:56:02,26:43.2,0106000020E6100000010000000103000000010000000900000000000026099F5340838244FBB3673140000080E2089F5340D15D20CA95673140000000990E9F53405083D9C693673140000080820E9F534048012DDB6B67314000000028169F53407021A8836A67314000008011169F5340B53AC59072673140000080E1189F53402406E43A72673140000000D1129F534009A179A0B067314000000026099F5340838244FBB3673140,9,95,421,102,102,2,1,95,0,6,381,40,37,7,0,3,13,42,4,98,0,6039,6392,8451,0,0,0,102,20,
Indira Nagar,0004-09-07 00:00:00.68-04:56:02,26:43.2,0106000020E61000000100000001030000000100000006000000B016A142D49E534062F126066C673140F03582F9D39E5340B40DED446B67314030558372D39E5340DF0C6D1D606731400863FE63DA9E5340C9E6E9D44D67314000A67801DB9E53406CC9B60451673140B016A142D49E534062F126066C673140,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Chandra Nagar,0005-11-06 00:00:00.68-04:56:02,26:43.2,0106000020E6100000010000000103000000010000000B00000060273FF3839E5340A080B3B53A673140304D8536889E53404CAA32633C6731403854004A8B9E53409D92BDEF29673140D05281AC8A9E53404B3E76172867314070B3C23E8B9E5340C096D375136731404009027D859E5340AD1B293A166731406082840F829E5340A1216FFB166731408052C8A1829E534059AAF0222267314048FC6201839E53405985435F2667314010A69D93839E5340F047FFDB2A67314060273FF3839E5340A080B3B53A673140,9,80,1168,273,178,47,18,166,20,69,1168,0,100,20,130,0,22,1,10,242,21,3447,4025,0,2,5,4,262,72,
Old Kamela (Non Slum),0007-06-08 00:00:00.68-04:56:02,26:43.2,0106000020E6100000010000000103000000010000000A0000001F9339549B9E53407ABAA1C6106731406CD1C0979B9E53405D56FE08056731409F4D9A48A19E534079C3A66308673140A53B802CA19E5340A3B925A4FB663140F74FA2EBA39E53406DD6CF51FD6631402CAF64E0A39E534064554AF0026731405C2041F1A39E53407246FF910A673140917F03E6A39E534035D7C45D1867314033DCC2EBA19E534065C1063C176731401F9339549B9E53407ABAA1C610673140,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Poolsala Bathi,0006-05-06 00:00:00.68-04:56:02,26:43.2,0106000020E6100000010000000103000000010000000A000000602EBD8A5D9E53409BC2960A06673140E06C3F745D9E5340E247B4A4C7663140B0CE8438689E53403D13DBEBBE663140B8D57FBC6B9E5340F4FB4910BB663140B01501496E9E5340C5025FE0B7663140D03C31DB6F9E534072EF7E1BDC663140F063619A719E534025D299C5DB66314040B241B9729E5340E820079CF66631405070FF4E689E534056F111FFFE663140602EBD8A5D9E53409BC2960A06673140,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Mutyala Bagh,0009-09-08 00:00:00.68-04:56:02,26:43.2,0106000020E6100000010000000103000000010000001500000068290750DF9E534058D9465576663140E848C363DE9E5340F953BA266A66314070687F77DD9E5340CAB6808E5E663140A88F4458E29E53409ED2A0EC56663140C8402296E29E5340C1C0394458663140306A74BDE39E534057F8C820566631400034CECFE29E5340504496374D6631400835A6D4E39E53403FAD81314B66314030172B49E29E534064986E6D3C66314030DE4E09E59E5340DDCE9DE437663140F852AA9EE69E5340C853BFC441663140C0C705C9E99E534081C88B8A3B66314050B1BCB5EE9E53409A6D32C53166314078842A11EF9E534078917572406631400049217FEA9E5340F18A9D214366314020855BB0EA9E53405B8E79584766314048C1955DE79E5340BCB973394B66314030481352EB9E534015813D686E663140D8DA3D71E79E534084C6C0F871663140A0DB4B1AE39E5340058310357666314068290750DF9E534058D9465576663140,9,80,434,106,86,43,34,45,1,26,344,90,95,0,0,0,11,0,93,10,3,4118,4099,0,8,2,0,96,37,
Boggi Khana,0008-09-06 00:00:00.68-04:56:02,26:43.2,0106000020E6100000010000000103000000010000001000000030A37AC6D99E5340122ADD02AE653140B0213E15DA9E53409D5D85C2A065314028A00164DA9E534082423D319665314060610464DA9E534037A27ECC8C653140D0A5FDFBD89E534073E399B880653140D06203A2D89E53406581B04B726531406808C0E2D79E534038626B696A65314000AEFCEDD79E534054F4728A6465314068157E58DE9E5340DD01F0326365314020C9FE1CE59E53407DA091ED6C653140D07C7F1FEA9E5340A058DD5D7D653140B0FC81F2E99E5340F4BF154085653140907C04DCE99E5340B19EB41B89653140A03C0355E99E53400AC86ED18F653140B0F87F9BE69E53404428422C9365314030A37AC6D99E5340122ADD02AE653140,9,80,437,94,85,68,29,17,20,28,436,1,40,0,17,0,32,5,81,10,3,3520,3297,21,0,0,0,94,55,
Sanjay Gandhi Nagar,0012-08-09 00:00:00.68-04:56:02,26:43.2,0106000020E610000001000000010300000001000000050000000000002A159E534076E3A596AA673140000080AE109E53402157D0179167314000000084159E53404D16CA0586673140000000161A9E5340F02DA1849F6731400000002A159E534076E3A596AA673140,8,78,411,100,90,2,2,68,1,29,394,17,51,0,0,27,19,3,67,3,30,4040,3540,21380,0,2,3,95,14,45
Noubath Pahad,0009-12-07 00:00:00.68-04:56:02,26:43.2,0106000020E61000000100000001030000000100000010000000D836FF8EEC9D5340E9EE9D45AD67314040088531F79D5340C1059796AA673140D04D82A7F99D5340D82FB606BB673140D81183D1FC9D5340806E2889BC673140E0D58328009E53404C8589ADB8673140B03C03F3009E5340F58C4A6DAB67314088A382F5059E53400FE1A991A767314008C57F2D0A9E53403D2A9C7294673140D0557E0B0E9E5340CA8E14E38A673140309E7D870A9E534057200E527367314088E67CA9069E5340D83253397167314010217DAC039E53408D5BB3326D67314088E2FA1C049E53408876C20954673140A814016FFD9D5340C3CD90C75F673140A8FA84A2EF9D5340C3CD90C75F673140D836FF8EEC9D5340E9EE9D45AD673140,8,78,662,166,140,33,38,106,5,17,661,1,0,2,159,2,3,0,57,105,4,5340,4511,7940,7,5,1,153,33,60
Chandra nagar,0011-10-14 00:00:00.68-04:56:02,26:43.2,0106000020E610000001000000010300000001000000080000000000C0E9679E53408B8CE571C8673140000040A36A9E534067674270C7673140000080546A9E5340E319A382B8673140000000F26A9E53409F5E40E9A8673140000080EC689E534034C9C440AA6731400000C073659E53404F9E23C8AE673140000080FD669E534053D66DDDBB6731400000C0E9679E53408B8CE571C8673140,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Rajmohalla,0017-04-07 00:00:00.68-04:56:02,26:43.2,0106000020E6100000010000000103000000010000000A000000084A426C379F53409A9C3C100D653140383885532E9F534000C0DAE600653140F87A84BB2F9F53400BDE67C7D3643140D0410356339F5340B1813A06E0643140E8087D3C369F53406B1E136BE9643140002B3C3F379F5340EBCFD95DFB643140B04B7CA4379F534096F9580BFD643140E0AA3E99379F5340D0592C6600653140707A80FE379F534053FDB2170B653140084A426C379F53409A9C3C100D653140,9,81,482,118,38,0,4,100,0,14,366,116,63,0,5,0,50,0,100,18,0,4585,4121,24843,11,1,2,104,2,
Shamsheer Bagh,0019-09-15 00:00:00.68-04:56:02,26:43.2,0106000020E6100000010000000103000000010000000F000000B8CC8258389F53404B5BB5238A643140C0D37D633C9F5340159E23347A643140D05F01AF439F534009AD03F76E643140B079C14C409F5340E6E2D2A53D64314010B7BF8A3E9F534045B378D23E6431403895FBD33C9F5340D08B66A717643140988FFF5D3A9F53406ABC749318643140004E84473A9F534096A9EE361464314088F5E382359F53404ECD272315643140F823C12B349F53408F2C47651664314060F45F31349F53400AE39F002764314090C7FC71359F53408499F89B3764314038867CA7349F53409610C5473864314078A97F3C369F53400F152F5A77643140B8CC8258389F53404B5BB5238A643140,9,81,550,156,79,35,38,50,1,67,550,0,119,0,0,0,36,1,156,0,0,4351,2897,0,0,1,0,155,6,
Rama Rao Nagar,0019-01-05 00:00:00.68-04:56:02,26:43.2,0106000020E6100000010000000103000000010000000C00000040B5A8EC479F5340B693149A1C643140C009C7244A9F534093A57B421B6431404861DEE34C9F53405EC2BA5419643140306D06F24B9F53401DECEAE10D64314088B89CBF479F5340E007EFC40F64314008D858D3469F53400476D24E0F643140B08DCBFA459F5340B79E9DE30E643140C0440DAC459F5340F74219281864314018552D9B459F5340A1396A8A196431407065FD24469F5340DB03E76B1A643140000640E4469F5340E080F9D81B64314040B5A8EC479F5340B693149A1C643140,9,81,402,99,99,7,11,18,17,53,402,0,94,0,0,0,4,1,95,3,1,2827,2688,202,46,0,0,53,50,
Indira Nagar,0019-01-03 00:00:00.68-04:56:02,26:43.2,0106000020E61000000100000001030000000100000005000000D8EAACB85C9F53402B39CA317264314060D23B61609F534010899D4E7064314050CF02EE5E9F534051A419346064314020C783615C9F53402376723762643140D8EAACB85C9F53402B39CA3172643140,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Kashiram Jeera,0019-08-08 00:00:00.68-04:56:02,26:43.2,0106000020E6100000010000000103000000010000000800000030307F505E9F5340DEE1D10B8F643140A853B5355F9F53401804C3958E6431406065181D5F9F5340575ACA5C8C64314040EE1965609F5340AD4B3F6B8B6431402077DBCE619F5340FDBB67E3896431401012C277609F534050C2712E7064314070EDDFB55C9F5340094C76677264314030307F505E9F5340DEE1D10B8F643140,9,81,112,29,27,0,0,1,0,28,50,62,21,0,4,0,3,1,17,2,10,4131,4793,14759,0,0,0,29,28,
Vernaguta,0021-11-06 00:00:00.68-04:56:02,26:43.2,0106000020E6100000010000000103000000010000000F00000050F2029DDC9F5340FF69A95CDD633140C8A401B4D49F5340895AFD85DC63314010BCBE62CF9F534038FDB010E3633140689B7EFDCE9F53400BA031F6D263314080B9BB73CD9F5340400597F9D463314020B4BA49CA9F5340AECACF57DA633140D8201F36C99F53407D604347DD6331409868A91FC89F53402F871F94DE63314030703790C79F53409BD1C931DD63314068BDDF68C79F534002A150AAD863314080AEBED3C79F534004238A24D563314060EBC679C79F5340ACCF8BC9D163314050AD3A82C69F5340F6362659C1633140F8BB7F45E19F534086EFB380BF63314050F2029DDC9F5340FF69A95CDD633140,9,81,433,107,83,18,22,71,1,13,433,0,88,1,0,0,17,1,72,35,0,4673,886,411,2,0,0,105,1,
Surya Nagar,0021-06-04 00:00:00.68-04:56:02,26:43.2,0106000020E6100000010000000103000000010000000D000000000000B0BA9F53406F18DEAF17663140000000B6B49F534025940C85FD65314000000005B19F5340159D9374F365314000008004B99F534039537CD9C8653140000080A7BB9F5340496E43EDD465314000000080BD9F534048FA5FE3CE653140000000D4C39F534026ACFC6DEF6531400000008BC19F53400B0DDF77F56531400000004DC39F53405DCC48D9FC65314000008093C09F5340521EA33F07663140000000B8C19F5340224A2A4B0E6631400000009FBC9F53401CA264BB1E663140000000B0BA9F53406F18DEAF17663140,9,88,886,191,142,19,35,27,2,127,886,0,1,129,0,0,61,0,139,52,0,6455,8668,0,2,1,1,187,13,
Nehru Nagar A,0022-05-07 00:00:00.68-04:56:02,26:43.2,0106000020E6100000010000000103000000010000000500000000000093C89F53404474B0B6E7653140000000E1D49F5340926EA87EC565314000000082CA9F53401467D9798E65314000000053BD9F534003F2FB60B365314000000093C89F53404474B0B6E7653140,9,88,262,59,58,6,15,8,1,35,262,0,3,34,0,0,22,0,58,1,0,3976,3892,6424,0,0,0,59,3,
Lambadi Thanda,0023-04-10 00:00:00.68-04:56:02,26:43.2,0106000020E61000000100000001030000000100000006000000909C1203D09F5340A98C165CA3653140F0084891CD9F5340013E72F2966531405875CDDECA9F53403F509F9C89653140983DCB70CF9F53400D1340067C65314008C4E2C4D49F5340456962E997653140909C1203D09F5340A98C165CA3653140,9,88,392,90,89,0,2,1,85,2,219,173,2,83,0,0,4,1,89,1,0,3006,3006,0,1,0,0,89,4,
Nehru Nagar B,0023-12-11 00:00:00.68-04:56:02,26:43.2,0106000020E61000000100000001030000000100000009000000D06480CAD49F53400DBA8A099865314060AA9555D79F5340C5687C5592653140F8EFCA29DA9F5340940250F78C653140309D403ED99F53409C16C72488653140604AA690D79F534081BB85347E653140C8A411EFD49F53403130C9466F653140D0002FC2D29F5340C319E36B72653140E05CFC6DCF9F534015F54CDB7B653140D06480CAD49F53400DBA8A0998653140,9,88,212,41,41,10,10,5,1,25,139,73,0,35,0,0,5,1,41,0,0,4134,4037,24878,36,0,0,5,4,
Sri Ram Nagar,0022-11-04 00:00:00.68-04:56:02,26:43.2,0106000020E61000000100000001030000000100000016000000A04F9101E89F534031AF86389465314078C81848E59F5340FE4465C39A653140604DA623E39F5340C55B4299A1653140209E3D1BE29F53407C06DC0C9A653140C0F1EF12E09F53405A23CCFE8A653140A00EE9BFE09F53409AA64FA088653140E0000CC9E09F5340A70BA8D18765314028F36EB0E09F5340D46B0E6B8565314048D9AE12E49F53405531F8A87D653140C0A33991E49F53404AB977E47A6531406028CC20E39F5340E0F9A0C26C653140E87294CDE69F534027561DA46D653140704761ACE99F534092E057F66E65314030958EA4EA9F53401A5A741D706531408046A7B6ED9F5340A11321F973653140D8F33D3CEE9F5340D0FB738F74653140E8A7F6F1E99F53409EFB1F1E91653140787C8348E99F53405A9A7C2F95653140C81F35BBE89F534018B9237397653140F0FC2787E89F5340DC76A92A97653140E8962553E89F5340E9929A0B96653140A04F9101E89F534031AF863894653140,9,88,670,161,153,29,36,96,1,28,655,15,101,3,0,0,57,0,19,112,30,3703,3670,16671,6,0,6,149,27,
Palamuru Basti,0022-11-03 00:00:00.68-04:56:02,26:43.2,0106000020E610000001000000010300000001000000050000000000803A0AA05340D89CC99E756631400000006BFF9F5340C3570FA4446631400000002A04A05340B0B3E6E236663140000000D50DA05340FE91FFDB666631400000803A0AA05340D89CC99E75663140,9,88,853,202,200,2,11,47,9,135,853,0,201,0,0,0,1,0,181,21,0,2483,2458,2,3,0,1,198,21,
