name_of_the_slum,created_at,updated_at,the_geom,circle_number,ward_number,population,households,number_of_bpl_households,minority,caste_general,caste_sc,caste_st,caste_obc,literacy_literates,literacy_illiterates,tenure_patta,tenure_possession_certificate,tenure_private_land,tenure_public,tenure_rented,tenure_others,structure_pucca,structure_semipucca,structure_kuccha,avg_monthly_income,avg_monthly_expenditure,debts_outstanding,zerotoone_years_of_stay,onetothree_years_of_stay,threetofive_years_of_stay,morethanfive_years_of_stay,female_headed_households,age
Kurma Basti,0032-08-05 00:00:00.68-04:56:02,05:20.1,0106000020E61000000100000001030000000100000007000000ED53022036A5534006D0B550AE66314062FB03C428A55340213AA9D4916531400308FE3B0BA55340400E5209B26531404F5504AC13A55340BF12066D8B663140921D02E417A55340660C18C9C36631405876FB8B24A55340B5FDA7F2A8663140ED53022036A5534006D0B550AE663140,2,7,804,189,90,10,137,14,6,32,740,64,116,0,0,0,72,1,64,124,1,4120,4065,27196,42,31,30,86,12,
Harijana Basthi,0032-11-03 00:00:00.68-04:56:02,05:28.5,0106000020E610000001000000010300000001000000080000002759FBF93EA4534068B59F102A6831404D7CFF3053A45340E27D2CAF226831401C7FFD6B54A4534026A8E15B58683140FEFEFFC554A453401D1A79CD6968314067F1FF364DA45340D035613575683140DFA3FE7A45A4534050F95B2B6F683140CDD8020840A453408170CB68606831402759FBF93EA4534068B59F102A683140,2,5,655,152,142,5,11,130,0,11,655,0,112,10,0,5,25,0,115,34,3,3992,4391,56079,3,3,1,145,37,
Beerappaguda,0035-07-17 00:00:00.68-04:56:02,05:37.9,0106000020E6100000010000000103000000010000000700000096ED01C2E0A35340D4995A3A0F68314008D8FD19D4A35340271EE59AE167314041A8FF6ADDA35340B06F481FCA67314000BB05D8E8A353402142F90EC0673140514302E3ECA35340E3223120FF6731407E83FE5BECA35340027ECF401368314096ED01C2E0A35340D4995A3A0F683140,2,5,4936,1217,1106,140,263,372,33,549,4709,227,345,102,2,6,752,10,634,533,50,3995,3568,55890,65,192,78,882,158,
Chilaka Nagar - I,0035-10-03 00:00:00.68-04:56:02,06:15.4,0106000020E610000001000000010300000001000000100000000000005232A45340272B8C80526B3140000000C02DA453400E746E22826B3140000000B826A453403C00A5ADA36B3140000000941DA453408D3A8ABDE26B31400000005C19A4534029C34193FD6B3140000000A818A45340359CFFC3E66B31400000005412A453402842910EE06B31400000001C0EA453405B7BF872E96B3140000000AC05A4534026E774CAEA6B31400000002EFCA35340F6B20615E46B31400000002EFCA3534088FD3D9DCE6B31400000009CF7A353406BB944EECB6B3140000000E8F6A35340188E7FC7B36B314000000034F6A353405527409A976B31400000008EF6A3534073BE3197606B31400000005232A45340272B8C80526B3140,2,5,5293,1315,895,133,313,223,54,725,5176,117,414,96,2,1,801,1,771,523,21,4423,4559,21293,63,74,72,1106,325,
Chilaka Nagar -IV,0037-12-04 00:00:00.68-04:56:02,06:38.0,0106000020E610000001000000010300000001000000120000000000002EFCA353408D3A8ABDE26B3140000000D4FBA35340CF9BBAF4CF6B31400000009CF7A3534088FD3D9DCE6B3140000000DAF5A35340B24EB43F5F6B3140000000F6F7A35340E3A68805066B3140000000DAF5A35340C67E4B02046B31400000006FF7A35340E2F81E94BF6A31400000009CF7A35340DA3ABCB7A06A314000000046E4A353409EA7C366D86A3140000000A0B7A353409FE11C536B6B314000000038B6A353406BCD6583BE6B31400000001CB4A35340F6B20615E46B314000000034C9A353409EBF0D66E16B31400000009CCAA3534083B058E1C36B314000000044D7A353406BB944EECB6B31400000004CDEA3534039DCE27FF16B3140000000C4EDA3534039DCE27FF16B31400000002EFCA353408D3A8ABDE26B3140,2,5,3130,785,773,146,201,78,39,467,3024,106,375,19,4,1,385,1,372,409,4,4615,4614,8316,50,57,51,627,213,
Indira Nagar,0037-03-01 00:00:00.68-04:56:02,06:44.0,0106000020E61000000100000001030000000100000007000000C8E704831FA45340A6AAF5159C753140202503A51BA453403CFE7857C6753140002BFA0623A4534096AF8909CB753140B0ADFA5D26A453405DAA5DF0BA7531408080FFB339A45340D057E563CE7531401083023B3AA45340C825CCE0B0753140C8E704831FA45340A6AAF5159C753140,1,3,1611,390,341,25,69,88,2,231,1595,16,208,3,1,2,175,1,327,59,4,5185,5363,30423,7,1,11,371,30,
Chilaka Nagar - II,0038-09-08 00:00:00.68-04:56:02,06:57.5,0106000020E61000000100000001030000000100000011000000000000D0B4A353409EBF0D66E16B314000000026C8A353408D3A8ABDE26B314000000042CAA35340FA62D538C56B31400000009ED7A353409213C896CA6B3140000000F2DDA353405C1BEAD0EE6B31400000005CECA35340DE385FD7F26B314000000020FBA35340F6B20615E46B31400000005205A4534026E774CAEA6B31400000000E0DA453400A0D7C1BE86B3140000000A011A453402842910EE06B31400000004E18A453400A0D7C1BE86B31400000005C19A45340BC2F49E4FA6B3140000000DCD5A35340AD3AB7EC9F6C3140000000AEB8A35340FCFB3C5B7A6C3140000000A6B1A353402674949C386C3140000000A6B1A35340578B90040F6C3140000000D0B4A353409EBF0D66E16B3140,2,5,2845,738,702,52,125,68,24,521,2825,20,221,31,3,0,481,2,383,351,4,5175,4877,34412,61,75,95,507,101,
"Indira Nagar, Nacharam",0038-04-09 00:00:00.68-04:56:02,07:05.0,0106000020E6100000010000000103000000010000000A000000000000486AA35340E2F185E3646C3140000000DC7BA353402D1FF700426C3140000000D681A35340D7BE9CED356C3140000000C286A353406EFFA43E336C3140000000D88EA353402674949C386C31400000004090A35340A21063D9936C31400000009289A353401A0AC13D9D6C31400000009289A35340B28E1717856C31400000005071A3534074CFCA8E9A6C3140000000486AA35340E2F185E3646C3140,1,4,1645,384,379,178,16,68,25,275,1247,398,146,0,3,7,227,1,259,108,17,4432,4424,24375,3,0,1,380,20,
Chaitanya Nagar,0040-08-03 00:00:00.68-04:56:02,07:26.2,0106000020E610000001000000010300000001000000060000000000802854A4534039CF3E5FCB7531400000805851A4534096DB2603C7753140000000EE4AA453407B346749BD753140000000E049A45340D2745922DB7531400000006F51A45340BD7760C9D87531400000802854A4534039CF3E5FCB753140,1,3,237,53,53,7,5,5,3,40,180,57,44,0,0,0,9,0,37,14,2,3891,3996,109377,6,9,0,38,2,
Gandhi Girijan Basti,0041-01-10 00:00:00.68-04:56:02,07:33.2,0106000020E610000001000000010300000001000000070000000000004AF0A25340775D4E43E067314000000058F1A253407DEE546F92673140000000DCF4A253409B45707C9A673140000000FA03A35340E020C7688E673140000000EC02A3534046B925D8D26731400000009EF6A2534037193636D86731400000004AF0A25340775D4E43E0673140,2,6,594,148,148,13,9,3,129,7,421,173,111,5,0,0,31,1,64,38,46,4114,4014,30103,6,2,1,139,14,
